elevation,geology,landuse,rainfall,slope,soil_clay,.geo
1703,4,10,4.246232509613037,20.549272537231445,27,"{""type"":""Point"",""coordinates"":[85.24239609080323,27.807290083632775]}"
1570,3,30,4.850409507751465,29.925758361816406,24,"{""type"":""Point"",""coordinates"":[85.4067195510804,27.833986209009655]}"
1483,2,10,4.576202392578125,18.875572204589844,22,"{""type"":""Point"",""coordinates"":[85.24712530314629,27.71487999674951]}"
1307,1,50,4.29325008392334,5.306125164031982,23,"{""type"":""Point"",""coordinates"":[85.31358924282515,27.745108482247936]}"
1384,2,50,3.744175434112549,2.7802884578704834,27,"{""type"":""Point"",""coordinates"":[85.38295979596799,27.63403468897353]}"
1455,2,10,4.847248077392578,53.91508102416992,25,"{""type"":""Point"",""coordinates"":[85.14152529419863,27.702198735906165]}"
2186,4,10,4.850409507751465,26.426433563232425,22,"{""type"":""Point"",""coordinates"":[85.44228893301593,27.800260783440137]}"
1295,1,10,4.850409507751465,28.63576316833496,22,"{""type"":""Point"",""coordinates"":[85.40359139771802,27.849652386378466]}"
1334,1,40,4.195834636688232,2.7802884578704834,27,"{""type"":""Point"",""coordinates"":[85.42707082967107,27.724015920273573]}"
1516,3,10,4.850409507751465,40.11921691894531,22,"{""type"":""Point"",""coordinates"":[85.41160684312364,27.82976569341847]}"
1858,4,10,4.49566125869751,23.693422317504883,23,"{""type"":""Point"",""coordinates"":[85.39881681402032,27.888074906268272]}"
2042,4,10,4.61355447769165,34.37904739379883,21,"{""type"":""Point"",""coordinates"":[85.38642102455226,27.824236811071444]}"
1313,1,50,4.29325008392334,1.3989359140396118,28,"{""type"":""Point"",""coordinates"":[85.31535493645494,27.71021926553866]}"
1547,3,30,5.004334926605225,12.5740385055542,24,"{""type"":""Point"",""coordinates"":[85.14110610261785,27.624990776732176]}"
1319,1,50,4.186050415039063,2.970553159713745,26,"{""type"":""Point"",""coordinates"":[85.29602606541411,27.725539854095192]}"
1782,4,10,3.744175434112549,40.188232421875,27,"{""type"":""Point"",""coordinates"":[85.39156294514149,27.611348775938588]}"
1687,4,10,4.246232509613037,36.64474487304688,22,"{""type"":""Point"",""coordinates"":[85.2359651397781,27.835068323685437]}"
1841,4,10,4.695466041564941,5.918236255645752,26,"{""type"":""Point"",""coordinates"":[85.46450875617984,27.898182065885887]}"
